station_code,month,temp,sp_cond,sal,do_pct,do_mgl,depth,c_depth,ph,turb,chl_fluor,level,c_level,state,coast
gndblwq,8,30.75537634,32.16457325,19.96528898,88.21656586,5.904704301,0.592325269,0.560695565,7.765188172,13.50638441,NA,NA,NA,Mississippi,Gulf
gndblwq,9,29.85175408,35.30273359,22.12403612,82.94574505,5.567141369,0.623067037,0.592323478,8.006703717,13.50017367,NA,NA,NA,Mississippi,Gulf
gndblwq,10,24.25023522,42.65585013,27.43373656,84.88776882,6.094758065,0.635947581,0.581858199,7.731115591,10.02452957,NA,NA,NA,Mississippi,Gulf
gndblwq,11,19.18388889,45.57763194,29.57777778,89.09979167,6.951076389,0.673038194,0.604274306,7.723958333,12.09166667,NA,NA,NA,Mississippi,Gulf
gndblwq,12,14.86814255,40.18079554,25.69730022,97.37757379,8.490640749,0.669722822,0.584582433,7.842332613,6.560115191,NA,NA,NA,Mississippi,Gulf
gtmpcwq,1,14.99522849,30.31233199,18.8968078,87.81451613,7.949966398,1.569028898,1.505058942,7.675873656,6.181787634,NA,NA,NA,Florida,Atlantic
gtmpcwq,2,16.45307222,20.58162055,12.43758534,82.34531082,7.509126842,1.47865972,1.397811714,7.516636723,7.88501617,NA,NA,NA,Florida,Atlantic
gtmpcwq,3,21.85040323,29.48072245,18.30033602,70.69707661,5.590961022,1.465191532,1.39749916,7.448454301,8.90188172,NA,NA,NA,Florida,Atlantic
gtmpcwq,4,24.30305556,35.66033333,22.54027778,67.39663194,4.975868056,1.582725694,1.52395066,7.480486111,11.67048611,NA,NA,NA,Florida,Atlantic
gtmpcwq,5,27.44979839,33.05189516,20.65581317,65.39600134,4.61155914,1.514566532,1.470793011,7.419623656,17.43682796,NA,NA,NA,Florida,Atlantic
gtmpcwq,6,30.205,26.25849653,16.1709375,56.6625,3.894826389,1.550243056,1.503898541,7.213993056,17.94097222,NA,NA,NA,Florida,Atlantic
gtmpcwq,7,32.43192204,36.09971102,22.65480511,62.24858871,3.976780914,1.440860215,1.367408975,7.549697581,16.08501344,NA,NA,NA,Florida,Atlantic
gtmpcwq,8,31.24089382,39.46400874,25.04902554,69.12775538,4.452016129,1.474791667,1.419203361,7.735486848,20.76680108,NA,NA,NA,Florida,Atlantic
gtmpcwq,9,29.34052083,37.16180903,23.24763889,74.49315972,5.008645833,1.56746875,1.523071577,7.443144208,14.28402778,NA,NA,NA,Florida,Atlantic
gtmpcwq,10,25.02083333,28.32006384,17.32671371,54.07207661,3.98608871,1.826918683,1.785215054,7.079435484,13.50840054,NA,NA,NA,Florida,Atlantic
gtmpcwq,11,18.68156934,36.87703163,23.43004866,78.26605839,6.364659367,1.650565693,1.583077859,7.509610706,7.830900243,NA,NA,NA,Florida,Atlantic
gtmpcwq,12,19.26360887,35.67212702,22.58051075,83.20376344,6.729502688,1.582174059,1.492143817,7.595060484,8.780241935,NA,NA,NA,Florida,Atlantic
kachdwq,1,5.319361345,47.09034958,30.04715966,95.28665546,9.889546218,12.29059832,12.52000674,7.94594958,4.159663866,NA,NA,NA,Alaska,Pacific
kachdwq,2,5.004060367,47.31463169,30.16381603,91.89090909,9.601221703,12.09960115,12.29489576,7.866654689,3.397053539,NA,NA,NA,Alaska,Pacific
kachdwq,3,5.381081989,48.26754032,30.87866263,91.21807796,9.398891129,12.10612567,12.25113277,7.926780914,1.855174731,NA,NA,NA,Alaska,Pacific
kachdwq,4,6.440625,47.37135764,30.36427083,98.54159722,9.933819444,12.01278125,12.10791247,8.010069444,1.736111111,NA,NA,NA,Alaska,Pacific
kachdwq,5,7.710726295,46.79128447,30.06882986,103.9524882,10.19882313,11.98873571,11.98302153,8.05800269,2.381640888,NA,NA,NA,Alaska,Pacific
kachdwq,6,8.771125782,47.02410354,30.32011814,100.5308895,9.609416261,12.04863794,12.05992008,8.011466296,1.844683808,NA,NA,NA,Alaska,Pacific
kachdwq,7,9.697612643,47.12920309,30.46220578,95.64872226,8.952118359,12.05193006,12.05567586,7.932313383,1.719905851,NA,NA,NA,Alaska,Pacific
kachdwq,8,11.36494118,45.92477983,29.68988235,93.0674958,8.441243697,12.0562084,12.06482005,7.942487395,2.425546218,NA,NA,NA,Alaska,Pacific
kachdwq,9,11.50052101,45.8720389,29.66151441,87.30604377,7.895692949,12.10131643,12.15783605,7.901597777,3.789857589,NA,NA,NA,Alaska,Pacific
kachdwq,10,9.498420699,46.01599462,29.65107527,92.18887769,8.71344086,12.18913642,12.28831653,7.90843414,2.543346774,NA,NA,NA,Alaska,Pacific
kachdwq,11,7.286428323,46.38621312,29.73832003,87.64921902,8.711627907,12.21818466,12.43247136,7.820791392,3.982992017,NA,NA,NA,Alaska,Pacific
kachdwq,12,4.350521008,47.86517983,30.45697479,91.1610084,9.661243697,12.14673277,12.2161042,7.675966387,4.976470588,NA,NA,NA,Alaska,Pacific
niwolwq,1,11.29821909,39.72813508,25.30204973,89.52631048,8.388004032,1.916965726,1.875342972,7.755376344,7.887432796,5.022110215,NA,NA,South Carolina,Atlantic
niwolwq,2,11.62335609,37.40921308,23.71002515,94.0282429,8.827200862,1.851620553,1.803435142,7.812145167,10.19044197,8.786812792,NA,NA,South Carolina,Atlantic
niwolwq,3,18.0274958,43.79804706,28.33761345,84.90796639,6.821109244,1.835919328,1.791263866,7.746453782,11.58184874,8.410588235,NA,NA,South Carolina,Atlantic
niwolwq,4,20.05604167,49.66789583,32.55670139,84.52861111,6.360104167,1.912454861,1.868097222,7.706944444,15.79652778,5.877395833,NA,NA,South Carolina,Atlantic
niwolwq,5,24.32311828,52.20633401,34.37916667,77.18514785,5.308702957,1.879264113,1.863792872,7.622177419,14.26982527,9.654166667,NA,NA,South Carolina,Atlantic
niwolwq,6,28.58082902,51.70048987,33.89599623,73.81416278,4.989673718,1.872072427,1.854435281,7.677196128,17.89820924,11.87870204,NA,NA,South Carolina,Atlantic
niwolwq,7,30.25909244,53.16674958,34.92645378,64.68151261,4.010487395,1.78472605,1.748765141,7.541478992,23.31260504,15.28006723,NA,NA,South Carolina,Atlantic
niwolwq,8,29.94623656,53.06140121,34.89133065,57.0905578,3.563239247,1.843007392,1.800874409,7.0109375,33.58030914,15.23239247,NA,NA,South Carolina,Atlantic
niwolwq,9,27.84423611,47.14969792,30.63774306,63.82784722,4.213506944,1.930375,1.901143552,7.36479648,41.56145833,30.94565972,NA,NA,South Carolina,Atlantic
niwolwq,10,22.96599462,42.3390457,27.28427419,71.89159946,5.265389785,2.121360887,2.072134454,7.52281586,19.56418011,9.821370968,NA,NA,South Carolina,Atlantic
niwolwq,11,16.84626866,50.28661576,32.98750434,81.918084,6.522908712,2.025237765,1.957365498,7.607046165,9.494967025,5.437764665,NA,NA,South Carolina,Atlantic
niwolwq,12,13.52123656,49.61064516,32.43222446,86.03793683,7.351176075,1.926458333,1.835065723,7.618380376,9.317876344,4.481552419,NA,NA,South Carolina,Atlantic
rkblhwq,1,19.47731855,40.98138105,26.43534946,89.00134409,7.03797043,0.895450269,0.850810084,7.979032258,8.457997312,NA,NA,NA,Florida,Gulf
rkblhwq,2,19.88365661,36.19365302,22.99658764,91.09414511,7.26558908,0.848369253,0.777693966,7.875179598,24.68175287,NA,NA,NA,Florida,Gulf
rkblhwq,3,24.23270588,46.94568739,30.52440336,83.59085714,5.906285714,0.794319328,0.738339496,7.880638655,23.33815126,NA,NA,NA,Florida,Gulf
rkblhwq,4,26.06348158,52.1459312,34.3133426,85.42168172,5.706219597,0.848460737,0.786837679,7.833113273,228.004517,NA,NA,NA,Florida,Gulf
rkblhwq,5,28.48907563,67.27962017,45.92416807,82.66917647,4.974521008,0.872648739,0.804645892,7.843865546,62.29176471,NA,NA,NA,Florida,Gulf
rkblhwq,6,30.47183588,53.0317733,34.89589708,82.81602921,5.124200278,0.870173853,0.804895592,7.83918637,71.97670376,NA,NA,NA,Florida,Gulf
rkblhwq,7,31.22871553,43.23994284,27.68873571,78.00050437,4.951176866,0.869159381,0.811850606,7.968123739,225.9515804,NA,NA,NA,Florida,Gulf
rkblhwq,8,30.5785402,37.10600404,23.39502186,70.97884292,4.672519341,0.913481332,0.877944837,7.809922637,22.5341406,NA,NA,NA,Florida,Gulf
rkblhwq,9,30.77506078,33.88052101,21.16394581,70.87224731,4.707224731,0.956300799,0.923530229,7.709135116,11.00104203,NA,NA,NA,Florida,Gulf
rkblhwq,10,26.9312164,42.77076613,27.51394489,81.78296371,5.598387097,0.926841398,0.905715726,7.839180108,9.196908602,NA,NA,NA,Florida,Gulf
rkblhwq,11,23.07635417,52.55577778,34.66118056,74.56027778,5.234131944,0.971447917,0.918568948,7.958645833,5.739930556,NA,NA,NA,Florida,Gulf
rkblhwq,12,23.7462521,52.95356303,34.9485042,71.65290756,4.974957983,0.971321008,0.898570468,7.943966387,37.59193277,NA,NA,NA,Florida,Gulf
